Paragraph,happy,sad,anger,fear
"""మనిషి శరీరానికి వైద్యురాలిగా మారగలిగే పట్టా నాకు పుస్తకాలు చదివితే వచ్చింది.కానీ మనసుకు వైధ్యం చేయగలిగే వైద్యురాలిగా నన్ను మార్చింది మాత్రం నేనున్న ఆ చీకటి రోజులే.నాలాగే ఇంకా ఎందరో ఎవరికీ చెప్పుకోలేని బాధల్లో,వారి వారి స్థాయిల్లో ఏదో ఒక మానసిక సమస్యతో బాధ పడుతున్న్ వాళ్ళే,ఇలాంటి వాళ్ళు నాచుట్టూ చాలా మంది ఉన్నారని,వాళ్ళు నేను అనుభవించిన బాధని అనుభవించి తొందర పాటు నిర్ణయాలు తీసుకోకూడదు అని నిర్ణయించుకున్నాను.ఏదో నాకు తెలిసినంత ఇంకొందరికి తెలియజేయాలని నేను ఉన్న పరిస్తితిలో ఇంకెవరూ ఒంటరిగా ఉండిపోకూడదు కొందరు మిత్రుల సాయంతో ఒక పుస్తకం రాశాను""",60,20,10,10
"""ఈరోజు ఇదే కాఫీ షాప్ లో ఆ పుస్తకం ఆవిష్కరణ ,నా జీవితంలో చాలా ముఖ్యమైన రోజు.ఒకప్పుడు అడుగు కూడా వేయలేనేమో అని అనుకునే స్థితి నుండి ఈరోజు ఇంకొకరికి సాయంగా నడిచే స్థాయి వరకూ వచ్చాను. నాకున్న పరిధుల్లో మానసికంగా కుంగిపోయి ఉన్న వాళ్ళకి కౌన్సెల్లింగ్ వంటివి చేస్తూ ఉంటున్నాను.అనారోగ్యం నయం చేసే డాక్టర్ ని అవ్వాలి అని నేను కోరుకుంటే విధి,నాకు కొంత బాధనిచ్చి మనుషులని మనసులని బాగు చేసే విద్యని నేర్పింది.కొన్నిసార్లు మనకి ఎందుకు ఇలాంటి సంఘటనలు ఎదురవుతాయీ అని తీవ్ర మధన పడుతూ ఉంటాం.ఆ సంఘటనలే మన జీవితనికి ఒక అర్ధాన్ని పరమార్ధాన్ని తెలియజేస్తాయి.. అదిగో నా పుస్తక ఆవిష్కరణకి సమయం అయింది...ఉంటాను...""",70,10,10,10
"""అనగనగా ఒక ఊరిలొ ఓ చాకలి ఉండేవాడు. అతనికి ఒక కుక్క, ఒక గాడిద ఉండేవి. గాడిద చాకలి మూటలను మోసేదీ. కుక్క చాకలి ఇంటికి కాపలా కాసి, అతనెక్కడికి వెళ్తే అక్కడకెళ్ళి తోడుండేది.  ఒక రోజు రాత్రి అందరూ నిద్రపోతున్నప్పుడు చాకలి ఇంట్లోకొక దొంగ ప్రవేశించాడు. ఇది గమనించిన గాడిద కుక్క వేపు ఆశ్చర్యంగా చూసి, “నువ్వు దొంగను చూసి మొరగలేదెందుకు?” అనడిగింది.  “మన యెజమాని మనల్ని అస్సలు పట్టించుకోడు. గత కొన్ని రోజులలో నాకు సరిగ్గా తిండి కూడ పెట్టలేదు. నేనెందుకు పట్టించుకోవలి?” అని కుక్క ఎదీ పట్టనట్టు నిర్లక్ష్యంగా సమాధానమిచ్చింది.  “ఇది మనం మొరబెట్టుకునే సమయంకాదు. మన యజమానికి సహాయం చేయాలి” అని గట్టిగా గాడిద కూతపెట్టడం మొదలెట్టింది.  దెబ్బకు ఇంట్లో వాళ్ళంతా లేచారు. దొంగ పారిపోయాడు. చాకలాడికి ఎవ్వరూ కనిపించకపోయేసరికి అనవసరంగా నిద్ర చెడకొట్టిందన్న కోపంతో గాడిదను బాగా బాదేడు.  ఎవరి పని వాళ్ళే చేయాల నే నీతి అప్పుడు గాడిదకు అర్ధమయ్యింది.""",40,30,20,10
"""అడివంతా తడిసిపోయింది. వృక్షం పక్కనే ఆడుకుంటున్న కొన్ని కోతులు వానలో తడిసి గడ గడ వణుకుతున్నాయి. వాటిని చూసిన పక్షులు నవ్వుతూ వాటితో వెటకారంగా మాట్లాడేయి. మేము ఇంత చిన్నగా ఉన్నా మా ముక్కులతో గడ్డి, చితుకులు సమకూర్చుకుని గూళ్ళు కట్టుకున్నాము, మీకు రెండు కాళ్ళు, చేతులున్నా మీరు ఇళ్ళు కట్టుకోలేదని ఎగతాళి చేసాయి.  మూర్ఖులైన కోతులకు చాలా కోపమొచ్చింది. అవి గబగబా చెట్టునెక్కి ఆ పక్షుల గూళ్ళను ధ్వంసం చేసాయి. ఆకులను కొమ్మలను విరిచేసి చెల్లాఛెదురు చేసాయి. గూళ్ళల్లోని గుడ్లు పగిలిపోయాయి. పక్షుల పిల్లలు భయంతో ఏడుపునందుకున్నాయి. అంతా నాశనం చేసి కోతులు వెళ్ళిపోయాయి.  రూపుమాపైపోయిన గూళ్ళు, చెట్టు, వాటితో పగిలిపోయిన వాటి గుడ్లను చూసి, అయ్యో అనుకున్నయి పక్షులన్ని. అనవసరంగా మనకు సంబంధంలేని విషయంలో తలదూర్చామన్న నీతి తెలుసుకుని పశ్చాత్త్తాప పడ్డాయి. """,20,50,20,10
"""అనగనగా ఒక ఊరిలో ఓ అమాయక బ్రాహ్మడు వుండేవాడు. ఆ బ్రాహ్మడు యజ్ఞంలో బలివ్వడానికి ఒక మేకను కొని తన ఇంటికి తీసుకుని వెళ్తుంటే ముగ్గురు దొంగలు చూసారు. ఆ మేకను ఎలాగైన దక్కించుకోవాలనుకున్నారు. ముగ్గురూ కలిసి ఒక పన్నాగం పన్నీరు. ఆ బ్రాహ్మడికి కనిపించకుండా ముగ్గురూ మూడు ప్రదేశాలకెళ్ళి నిలపడ్డారు.  మొదటి దొంగ బ్రాహ్మడు తన దగ్గరకి వస్తుండటం చూసి ఎదురొచ్చాడు. వచ్చి, “బ్రాహ్మడిని ఈ కుక్కను ఎక్కడికి తీసుకెళ్తున్నారు?” అనడిగాడు.గాయానికి కోపంతో బ్రాహ్మడు “మూర్ఖుడా! ఇది కుక్క కాదు, మేక” అని జవాబిచ్చాడు. “మేకను పట్టుకుని కుక్కంటాడేమిటి” అని ఆలోచిస్తూ తన దారిన పోసాగాడు. బ్రాహ్మడు కొంత దూరమెళ్ళాక రెండొ దొంగ ఎదురొచ్చి చాలా వినయమున్నట్టు నమస్కరించాడు. “ఓ బ్రాహ్మణా! ఎందుకు కుక్కను మోస్తున్నారు?” అనడిగాడు. బ్రాహ్మడు చాలా ఆశ్చర్య పోయాడు. మేకను భుజాల మీంచి దించి చూసుకున్నాడు. “ఇది కుక్క కాదు, మేకనే. వీళ్ళిద్దరూ కుక్కంటున్నారేమిటి?” అని ఆలోచనలో  పడ్డాడు. దీర్ఘంగా ఆలోచిస్తూ మేకను మళ్ళ",10,50,30,10
"""అనగనగా ఒక ఊరు  చెరువు లొ చాలా  చేపలు వుండేవి. ఒక రోజు ఇద్దరు చేపలు పట్టే వాళ్ళు  ఆ చెరువు దెగ్గిరనుంచి వెళ్ళారు. చెరువు లో చాలా చేపలు వున్నాయని గమనించి మర్నాడు  ఆ చెరువు లో చేపలు పడదామని నిర్ణయించు కున్నారు.  వాళ్ళ మాటలు విన్న ఒక పెద్ద చేప ఈ విషయం ఇంకొ రెండు చేపలకు చెబుతూ – “మనం వెంటనే మన బంధువులను తీసుకుని ఈ చెరువుని వదిలి వెళ్ళిపోవాలి – లేక పోతె రేపు మనం ప్రాణాలతో వుండము” అని వివరించింది.  ఈ మాటలు విన్న వేరే రెండు చేపలు ఆలొచన లో పడ్డాయి. రెండో చేప, “వాళ్ళు రేపు వస్తే చూద్దాం” అనుకుంది.  మూడో చేప, “ఈ ముసలి చేపకు చాదస్తం ఎక్కువ – ఆ చేపలు పట్టే వాళ్ళు వచ్చినా మన అదృష్టం బాగుంటే వాళ్ళేమి చేస్తారు” అనుకుంది.  మొదటి చేప రాత్రి కి రాత్రి తన బంధువులతో ఈదుకుంటూ వేరే చెరువుకు వెళ్ళి పొయింది.  తెల్లవారగానే  రెండో చేప నేరుగా వస్తున్న చేపలు పట్టే వాళ్ళని చూసి తన కుటుంబంతో వేరే చెరువుకు వెంటనే వెళ్ళి పొయింది.  మూడో చేప వల లో చిక్కుకుని ప్రాణాలను వదులుకుంది.  దూరదృష్టి",20,50,20,10
"""కొన్ని సంవత్సరాల క్రితం ఒక వూరిలో లక్ష్మి అనే పేరుగల ఒకావిడ వుండేది. ఆవిడకు రోజూ సాయంత్రం ఇంటి దెగ్గిర వున్న పార్కులో ఒక బెంచి మీద కూర్చుని తనతో తెచ్చుకున్న పుస్తకం చదవడం అలవాటు. రోజూ అదే బెంచి మీద కూర్చునే అలవాటు పడిన లక్ష్మిగారికి కొద్దిరోజులకి ఆ బెంచి ప్రత్యేకించి తనదే అన్న ఒక భావం ఏర్పడిపోయింది. అలాగే ఒక రోజు పార్కులోకి వెళ్తుంటే అక్కడ వేడి వేడిగా వేరుశనగలు అమ్ముతున్న బండివాడు కనిపించాడు. వాసనకి నోరూరిన లక్ష్మి గారు ఒక పొట్లం వేరుశనగలు కొనుక్కుని తన మామూలు పధ్ధతి లో తన బెంచి కి వెళ్ళింది. చూస్తే అక్కడ తన బెంచి మీద అప్పటికే ఒక పెద్దాయిన కూర్చుని ఉన్నారు.  రుసరుసలాడుతూ తన షాల్వా, పర్సు, కూడా తెచుకున్న ఇతర సామాన్లు, చేతిలో వేరుశనగల పొట్లం పక్కన పెట్టి కూర్చుని పుస్తకం తీసింది.  చదువుతూ పక్కనవున్న వేరుశనలు  అందుకుని వల్చుకుంటూ తినడం మొదలుపెట్టింది. తీరా చూస్తే పక్కనున్న పెద్దాయన కూడా అదే పొట్లంలోంచి వేరుశనగలు తీసుకుని తింటున్నారు. “ఎంత పొగరు, అడగకుండానే నా",30,40,20,10
"""ఒక కప్పా, పాము మంచి స్నేహితులుగా వుండేవి. కప్ప పాముకు కప్పకూత నేర్పించింది. పాము కప్పకు బుసకొట్టడం నేర్పించింది.  పాము నీటిలోకి వెళ్ళి కప్పకూత కూస్తే చుట్టుపక్కల కప్పలు దాని దగ్గరకు వెళ్ళేవి. పాము చటుక్కున వాటిని తినేసేది.   కప్ప నీళ్ళల్లో భుస కొడుతుంటే దాని దగ్గరకు పాములు వచ్చేవి కావు. కప్ప నిర్భయంగా వుండేది. ఇలా కొంత కాలం కొనసాగింది.  కాలక్రమేణా పాము చేసే పని కప్పలకు తెలిసి అవి పాము దగ్గరకు వెళ్ళడం మానేసాయి. పాము తినడానికి ఏమి లేక చిక్కి క్షీణించుకు పోయింది. ఆకలి తట్టుకోలేక తన స్నేహితుడైన కప్పను తినేసింది.అందుకే చెడు స్నేహం చేస్తే అది ఎప్పటికైన మనకే చేటు.""",10,60,20,10
"""అనగనగా ఒక ఊరిలో ఒక నక్క రోజూ కోళ్ళను, కోడి పిల్లలను తినేసేది. రోజూ ఆ నక్క చేసే పనికి ఊళ్ళో జనమంతా వంచించబడ్డారు. ఒక రోజు ఆ నక్క ఒక పొలంలో చచ్చి పడున్నట్టు కనబడింది. ఊళ్ళో వాళ్ళంతా మొత్తానికి ఆ నక్కను ఎవరో చంపేసారని హర్షించారు. జనమంతా ఆ నక్కను చూడడానికి పొలానికి చేరుకున్నారు. ఒక కోడి పుంజు కూడా తన పిల్లలతో చూడడానికి వెళ్ళింది.  ఇంతలో ఆ నక్క లేచి, పెద్దగా ఆవలించింది. “అరే! నువ్వు చచ్చిపోయావనుకున్నామే!” అంది కోడి పుంజు.  “లేదు, అదేమి కాదు. నిన్న రాత్రి బాగా  తిన్నాను, అందుకే నిద్ర పట్టేసింది” అని జవాబు చెప్పిందా నక్క.  కోడిపుంజు వెంటనే తన పిల్లలను లెక్క పెట్టుకుంది. ఒక కోడి పిల్ల తక్కువ వుంది. “ఇదేమిటి, ఒక పిల్ల తక్కువ వున్నా నాకు తెలియలేదే,” అంది.  “ఏమిటయ్య! నిన్న రాత్రి నీ పిల్లను తింటే నీకు తెలీలేదు కాని ఒక క్షణం క్రితం నేను చచ్చానని తెలుస్తే వెంటనే వచ్చావు” అంది నక్క వ్యంగ్యంగా.  నిజమే, ముందు మన ఇల్లు చక్కబెట్టుకుని, తరవాత ఇతరుల విషయం పట్టించుకోవాలి.""",20,50,20,10
"""మా రూం కి వెళ్ళాలంటే ఒక స్మశానాన్ని ఆ తర్వాత శివుడి గుడిని చివరిగా పెద్ద ఆట స్థలాన్ని దాటి వెళ్ళాలి. మా రూం తర్వాత ఇంకో రెండు మూడు ఇల్లులు ఆ తర్వాత బ్రిటిష్ వారి కాలం లో కట్టిన మానసిక రోగుల మిషన్ ఆసుపత్రి మెయిన్ గేటు ఉంటుంది, దాన్ని దాటి మేము ఎప్పుడు వెళ్ళింది లేదు. అద్దె తక్కువ కదా అని అక్కడ తీసుకున్నాం. మేము ఉండేది 4 అంతస్తుల భవనంలో గ్రౌండ్ ఫ్లోర్ లోని సింగల్ రూం లో. నేను ఇంకో ఇద్దరం కలిసి ఉంటాం, ఒకటే రూం దాంట్లోనే బాత్రూం కూడా. ఎవ్వరు వచ్చేది వెళ్ళేది మాకు కనిపిస్తూ ఉండేది, లిఫ్ట్ మా రూం కి ఎడమ వైపుగా, మెట్లు కుడివైపుగా ఉండేవి. మా రూం పక్కగా వాచ్ మెన్ రూం ఉండేది. రూం లో నాకు ఒక్కడికే చనిపోయిన తర్వాత విషయాల గురించి చాలా ఆసక్తి, మిగిలిన ఇద్దరికీ కొద్దిగా భయం. నేను అవి ఇవి చెప్పి రాత్రి పూట వాళ్ళని బయపెడుతూ ఉండేవాడని పడుకున్నప్పుడు. నా కంప్యూటర్ లో సినిమాలు అన్ని దయ్యాల సినిమాలే, భాషా బేధం చూపించకుండా అన్ని భాషలలోని హారర్ సినిమాలు చూసేవాడిని. ఎందుకింత ఆసక్",10,40,20,30
"""మా అమ్మ చెపుతుండేది ఎంతసేపైన ఆడుకో కాని చీకటి పడేలోపు ఇంటికి వచ్చేయ్, తోట మొదట్లోనే ఆడుకోవాలి లోపకి వెళ్ళకూడదు అని. ఎందుకు అని నేను చాలా సార్లు అడిగాను, తానెప్పుడు కారణం చెప్పలేదు. మా ఊర్లో మాత్రం ఓ పుకారు ఉండేది రాత్రి చీకటి పడిన తర్వాత మా మామిడి తోటలో ఎవరో తిరుగుతుంటారు అందుకని అటు వైపు ఎవ్వరు వెళ్ళకండి అని చెపుతుండేవారు. మా తాత ఎప్పుడు ఆ తోటలోనే ఉండేవాడు, ఆయన బతికున్నంత కాలం ఆ తోటకు కాపలాగా, చెట్లను చంటిబిడ్డల్లా చూసుకునేవాడు. మంచి మంచి పండ్లు చెట్టు దగ్గర ఎండిన వరి గడ్డిలో మాగేసి మా అమ్మకు ప్రత్యేకంగా తినేపించేవాడట, అమ్మ అంటే తాతకు ప్రాణం. ఆయన ఈ మధ్యనే కాలం చేసారు, 80 ఏళ్ళు పైన ఆనందంగా బతికిన మనిషి, మామిడి తోటంటే ఆయనకు కుటుంబం కిందే లెక్క, మాతో కన్నా తోటలోనే ఎక్కువ గడిపిన మనిషి, ఆ అనురాగం వల్లనే రాత్రి పూట కాపలాగా తిరుగుతుంటాడు అని అంటుండే వారు కొంతమంది. మా తాత కాలం చేసిన తర్వాత వారం మా తోట చుట్టూ వేసిన కంచె పక్కగా ఇద్దరు ప్రేమికులు చనిపోయి పడి ఉన్నారు",30,50,10,10
"""వాళ్ళ ఒంటి మీద ఎటువంటి గాయం లేదు, చావుకి కారణం ఎవరికీ తెలీలేదు. మా తాత కాలం చేసిన తర్వాత ఆ తోటని పెద్దగా పట్టించుకోలేదు మా నాన్న గారు. 200 చెట్లలో మా ఇంటి నుండి వెళ్తుంటే ముందుగా కనిపించే ఓ 20 - 30 చెట్ల వరకు బావుండేవి వాటిని దాటి ఎవ్వరు ముందుకు వెళ్ళేవారు కాదు. మేము కూడా తోట మొదట్లో ఆడుకునే వాళ్ళం లోపలకి వెళ్ళింది లేదు. తోటలో ఆడుకునే సమయం లో అప్పుడప్పుడు మా తాత పిలుస్తునట్టు అనిపించేది నాకు, మా ఫ్రెండ్స్ కు చెప్పేవాడిని వాళ్ళు సరదాగా ఆటపట్టించటానికి చేస్తున్నాను అని నవ్వేవాళ్ళు. మా తోటకు దగ్గరలో పెద్ద చెరువు దానికి అటు చివరగా పెద్ద అడవి ఉండేవి. వినాయక నిమజ్జనం అప్పుడు తప్ప ఆ చెరువు దగ్గరికి ఎవ్వరు వెళ్ళరు. అది కూడా సాయంత్రం 5 లోపు ముగించేస్తారు. మా తాత వాళ్ళతాత వాళ్ళ చినప్పుడు అంటే ఓ 100 ఏళ్ళ క్రితం అక్కడ చెరువు ఉండేది కాదు అదో స్మశానం అట, ఏదైనా రోగం వచ్చి హటాత్తుగా చనిపోయిన వారిని మాత్రమె అక్కడ పూడ్చేవారట, భర్తకు జబ్బు చేసి చనిపోతే అతని భార్య ను పిల్లలతో",10,70,10,10
"""వారి ద్వారా ఇంకెవరికైనా వస్తుందేమో అన్న అనుమానంతో. అది లోతట్టు ప్రాంతం అవ్వటం వలన వర్షం వచ్చినప్పుడల్లా ఆ స్మశానం నీటితో మునిగి పోయేది, నీళ్ళనీ ఇంకిపోవటానికి చాలా సమాయం పట్టేది, ఆ సమయం లో ఎవరైనా జబ్బుతో చనిపోతే వారిని ఓ ఇనుప పడవలో పెట్టి నిప్పెట్టి, బూడిదను నీటికి తడవని ఒక వస్త్రంలో కట్టి చెరువులోకి విసిరేసేవారట. చెరువు ఇంకిపోయిన తర్వాత ఆ బూడిదను మట్టిలో కప్పెట్టేవారు. ఆ స్మశానం ఎంత పెద్దగా ఉండేది అంటే చుట్టు పక్కల చాలా ఊర్ల వాళ్ళు ఇక్కడే దహనం చేసేవారు జబ్బు చేసినవాళ్ళని. విచిత్రం ఏమిటంటే ఎవరినైనా కాల్చేప్పుడు పొగ అస్సలు వచ్చేది కాదట, ఆ తర్వాత రోజు మాత్రం విపరీతమైన పొగ వచ్చేదట. అక్కడ ఉండే ఇనుప పడవ ఇప్పుడు కనపడటం లేదు కాని, అప్పుడప్పుడు మండుతున్న పడవ నీటిపైన తేలుతూ ఉండటం కొంతమంది చూసాం అని చెపుతుంటారు.""",20,60,10,10
